Country Name,India,United States
Country Code,IND,USA
Indicator Name,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)"
Indicator Code,FP.CPI.TOTL.ZG,FP.CPI.TOTL.ZG
1985,5.556424232,3.545644152
1986,8.729720727,1.898047722
1987,8.801125813,3.664563218
1988,9.383471862,4.077741107
1989,7.074280029,4.82700303
1990,8.971232503,5.39795644
1991,13.87024618,4.234963965
1992,11.78781704,3.028819678
1993,6.326890488,2.951656966
1994,10.24793556,2.607441592
1995,10.22488616,2.805419689
1996,8.977152338,2.9312042
1997,7.164252115,2.337689937
1998,13.23083898,1.552279099
1999,4.66982038,2.188027197
2000,4.00943591,3.376857271
2001,3.779293122,2.826171119
2002,4.297152039,1.586031627
2003,3.805858995,2.270094973
2004,3.767251735,2.677236693
2005,4.24634362,3.392746845
2006,5.796523376,3.225944101
2007,6.372881356,2.852672482
2008,8.349267049,3.839100297
2009,10.88235294,-0.355546266
2010,11.98938992,1.640043442
2011,8.911793365,3.156841569
2012,9.478996914,2.069337265
2013,10.01787847,1.464832656
2014,6.665656719,1.622222977
2015,4.906973441,0.118627136
2016,4.948216341,1.261583206
2017,3.328173375,2.130110004
2018,3.938826467,2.442583297
2019,3.729505735,1.812210075
2020,6.623436776,1.233584396
2021,5.131407472,4.697858864
2022,6.699034141,8.002799821
2023,5.649143189,4.116338384
2024,4.95303551,2.949525205
